model,agent_internal,seed,run_name,rows,train_episode_rows,training_diagnostic_rows,evaluation_rows,max_timestep,final_evaluation_reward,final_success_rate,final_sps,wall_clock_time_seconds,circuit_evaluations
PPO,PPO_classical,0,2026-07-11--23-30-04_ppo_lunarlander_stable_B_seed0,461,435,25,1,100000,-166.7358661232983,0.0,4159,24.044225692749023,
PPO,PPO_classical,1,2026-07-12--09-28-53_ppo_lunarlander_stable_B_seed1,545,519,25,1,100000,-338.4755818245376,0.0,4345,23.011736154556274,
PPO,PPO_classical,2,2026-07-12--19-30-57_ppo_lunarlander_stable_B_seed2,420,394,25,1,100000,-196.00298568820398,0.0,4452,22.457842111587524,
PPO-tiny,PPO_tiny_classical,0,2026-07-11--23-30-35_ppo_tiny_classical_seed0,650,624,25,1,100000,-1186.5492431423713,0.0,4093,24.430720329284668,
PPO-tiny,PPO_tiny_classical,1,2026-07-12--09-29-19_ppo_tiny_classical_seed1,657,631,25,1,100000,-1843.8979127977727,0.0,4063,24.60990333557129,
PPO-tiny,PPO_tiny_classical,2,2026-07-12--19-31-23_ppo_tiny_classical_seed2,613,587,25,1,100000,-532.8821219906498,0.0,4077,24.52549719810486,
DQN,DQN_classical,0,2026-07-11--23-31-04_dqn_lunarlander_classical_seed0,1327,426,900,1,100000,-196.59118075149004,0.0,2959,33.789196729660034,
DQN,DQN_classical,1,2026-07-12--09-29-49_dqn_lunarlander_classical_seed1,1274,373,900,1,100000,-96.3343941254037,0.0,2993,33.4052312374115,
DQN,DQN_classical,2,2026-07-12--19-31-52_dqn_lunarlander_classical_seed2,1207,306,900,1,100000,-176.10834344569565,0.0,2953,33.858848094940186,
QRL,ppo_quantum_hybrid,0,2026-07-12--06-37-43_qppo_hybrid_configC_seed0,604,578,25,1,100000,-1009.6726867343554,0.0,9,10251.07503938675,1100000.0
QRL,ppo_quantum_hybrid,1,2026-07-12--16-41-12_qppo_hybrid_configC_seed1,793,767,25,1,100000,-1079.1073597866284,0.0,9,10148.816022396088,1100000.0
QRL,ppo_quantum_hybrid,2,2026-07-13--02-36-19_qppo_hybrid_configC_seed2,688,662,25,1,100000,-357.7714329580268,0.0,10,9941.606642246246,1100000.0
Quantum DQN,DQN_quantum,0,2026-07-11--23-31-41_dqn_lunarlander_quantum_seed0,2024,1123,900,1,100000,-254.95337193351807,0.0,3,25543.532252073288,358654097.0
Quantum DQN,DQN_quantum,1,2026-07-12--09-30-25_dqn_lunarlander_quantum_seed1,2040,1139,900,1,100000,-148.64172043123077,0.0,3,25835.033069372177,358654029.0
Quantum DQN,DQN_quantum,2,2026-07-12--19-32-29_dqn_lunarlander_quantum_seed2,1822,921,900,1,100000,-248.8572759721713,0.0,3,25418.576924324036,358654003.0
