row_type,agent,friendly_agent,seed,wall_clock_seconds,wall_clock_hours,SPS,circuit_evaluations,seed_count,wall_clock_mean_seconds,wall_clock_sample_std_seconds,wall_clock_cumulative_seconds,wall_clock_cumulative_hours,SPS_mean,SPS_sample_std,circuit_evaluations_mean,circuit_evaluations_cumulative
seed,PPO,ppo,0,166.84604334831238,0.046346123152308995,5394.0,,1,,,,,,,,
seed,PPO,ppo,1,,,,,0,,,,,,,,
seed,PPO,ppo,2,,,,,0,,,,,,,,
aggregate,PPO,ppo,,,,,,1,166.84604334831238,,166.84604334831238,0.046346123152308995,5394.0,,,
seed,QRL,qrl,0,,,,,0,,,,,,,,
seed,QRL,qrl,1,,,,,0,,,,,,,,
seed,QRL,qrl,2,,,,,0,,,,,,,,
aggregate,QRL,qrl,,,,,,0,,,,,,,,
seed,PPO-tiny,ppo_tiny,0,237.79150199890137,0.06605319499969482,3784.0,,1,,,,,,,,
seed,PPO-tiny,ppo_tiny,1,,,,,0,,,,,,,,
seed,PPO-tiny,ppo_tiny,2,,,,,0,,,,,,,,
aggregate,PPO-tiny,ppo_tiny,,,,,,1,237.79150199890137,,237.79150199890137,0.06605319499969482,3784.0,,,
seed,DQN,dqn,0,334.5634446144104,0.09293429017066955,2690.0,,1,,,,,,,,
seed,DQN,dqn,1,,,,,0,,,,,,,,
seed,DQN,dqn,2,,,,,0,,,,,,,,
aggregate,DQN,dqn,,,,,,1,334.5634446144104,,334.5634446144104,0.09293429017066955,2690.0,,,
