agent,friendly_agent,training_timestep,seed_0_evaluation_reward,seed_1_evaluation_reward,seed_2_evaluation_reward,seed_count,mean_evaluation_reward,sample_std_evaluation_reward,t95_ci_lower,t95_ci_upper,evaluation_successes,evaluation_episodes,pooled_success_rate,wilson95_lower,wilson95_upper
PPO,ppo,100000,-472.7894546252366,,,1,-472.7894546252366,,,,0,10,0.0,0.0,0.2775327998628892
PPO,ppo,200000,-129.80490489231633,,,1,-129.80490489231633,,,,0,10,0.0,0.0,0.2775327998628892
PPO,ppo,300000,113.85981787882142,,,1,113.85981787882142,,,,0,10,0.0,0.0,0.2775327998628892
PPO,ppo,400000,204.09424801066152,,,1,204.09424801066152,,,,7,10,0.7,0.39677814746114537,0.8922087325936989
PPO,ppo,500000,233.55572383324994,,,1,233.55572383324994,,,,10,10,1.0,0.7224672001371107,0.9999999999999999
PPO,ppo,600000,235.48156651959818,,,1,235.48156651959818,,,,10,10,1.0,0.7224672001371107,0.9999999999999999
PPO,ppo,700000,205.69542754262775,,,1,205.69542754262775,,,,8,10,0.8,0.49016247153664183,0.9433178485456247
PPO,ppo,800000,249.64018108043234,,,1,249.64018108043234,,,,10,10,1.0,0.7224672001371107,0.9999999999999999
PPO,ppo,900000,259.33089622618394,,,1,259.33089622618394,,,,10,10,1.0,0.7224672001371107,0.9999999999999999
QRL,qrl,100000,,,,0,,,,,0,0,,,
QRL,qrl,200000,,,,0,,,,,0,0,,,
QRL,qrl,300000,,,,0,,,,,0,0,,,
QRL,qrl,400000,,,,0,,,,,0,0,,,
QRL,qrl,500000,,,,0,,,,,0,0,,,
QRL,qrl,600000,,,,0,,,,,0,0,,,
QRL,qrl,700000,,,,0,,,,,0,0,,,
QRL,qrl,800000,,,,0,,,,,0,0,,,
QRL,qrl,900000,,,,0,,,,,0,0,,,
PPO-tiny,ppo_tiny,100000,-721.9438029267101,,,1,-721.9438029267101,,,,0,10,0.0,0.0,0.2775327998628892
PPO-tiny,ppo_tiny,200000,-155.5207055324823,,,1,-155.5207055324823,,,,0,10,0.0,0.0,0.2775327998628892
PPO-tiny,ppo_tiny,300000,-103.3675531253053,,,1,-103.3675531253053,,,,0,10,0.0,0.0,0.2775327998628892
PPO-tiny,ppo_tiny,400000,-64.0918387150862,,,1,-64.0918387150862,,,,0,10,0.0,0.0,0.2775327998628892
PPO-tiny,ppo_tiny,500000,-33.33613193910842,,,1,-33.33613193910842,,,,0,10,0.0,0.0,0.2775327998628892
PPO-tiny,ppo_tiny,600000,-57.27773450943319,,,1,-57.27773450943319,,,,0,10,0.0,0.0,0.2775327998628892
PPO-tiny,ppo_tiny,700000,46.65801088591947,,,1,46.65801088591947,,,,0,10,0.0,0.0,0.2775327998628892
PPO-tiny,ppo_tiny,800000,16.31284591895884,,,1,16.31284591895884,,,,0,10,0.0,0.0,0.2775327998628892
PPO-tiny,ppo_tiny,900000,65.31076727195388,,,1,65.31076727195388,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,100000,-109.86375642706885,,,1,-109.86375642706885,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,200000,-104.23013105120496,,,1,-104.23013105120496,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,300000,-104.79102957170912,,,1,-104.79102957170912,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,400000,-65.87234824118592,,,1,-65.87234824118592,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,500000,-68.88415916956822,,,1,-68.88415916956822,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,600000,-66.05149420450023,,,1,-66.05149420450023,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,700000,-96.9746523220422,,,1,-96.9746523220422,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,800000,-63.11224066068959,,,1,-63.11224066068959,,,,0,10,0.0,0.0,0.2775327998628892
DQN,dqn,900000,-52.88902659738331,,,1,-52.88902659738331,,,,0,10,0.0,0.0,0.2775327998628892
